fil_ip	fil_in	siq	eqn	mass_ip	mass_in	vol_all	vol_in	dep_ip	dep_in	len_ip	len_in
/path/to/IP_WT_G1_Hho1_6336.sc.bam	/path/to/in_WT_G1_Hho1_6336.sc.bam	0.0023106316806475436	6nd	2.7	72.5	300	20	13492920	12851824	227.009	197.186
/path/to/IP_WT_G1_Hho1_6337.sc.bam	/path/to/in_WT_G1_Hho1_6337.sc.bam	0.003816492180174805	6nd	5	81.1	300	20	13655994	12030091	230.767	199.994
/path/to/IP_WT_G1_Hmo1_7750.sc.bam	/path/to/in_WT_G1_Hmo1_7750.sc.bam	0.00690681761830637	6nd	8.4	79.9	300	20	14276141	7475096	226.664	208.476
/path/to/IP_WT_G1_Hmo1_7751.sc.bam	/path/to/in_WT_G1_Hmo1_7751.sc.bam	0.003286089627599139	6nd	3.2	63.6	300	20	14201390	11554158	217.431	198.809
/path/to/IP_WT_G2M_Hho1_6336.sc.bam	/path/to/in_WT_G2M_Hho1_6336.sc.bam	0.003963505904995092	6nd	6.6	104.9	300	20	12812979	10830518	232.687	205.216
/path/to/IP_WT_G2M_Hho1_6337.sc.bam	/path/to/in_WT_G2M_Hho1_6337.sc.bam	0.004564680437401102	6nd	6.1	85.2	300	20	12226008	10106382	233.732	208.625
/path/to/IP_WT_G2M_Hmo1_7750.sc.bam	/path/to/in_WT_G2M_Hmo1_7750.sc.bam	0.010778646516173633	6nd	5.4	32.4	300	20	12991422	11710115	239.72	217.044
/path/to/IP_WT_G2M_Hmo1_7751.sc.bam	/path/to/in_WT_G2M_Hmo1_7751.sc.bam	0.0023721270908550834	6nd	3.4	93.4	300	20	12899803	12166422	220.254	200.936
/path/to/IP_WT_Q_Hho1_6336.sc.bam	/path/to/in_WT_Q_Hho1_6336.sc.bam	0.09296116993382085	6nd	116.9	72.7	300	20	13442837	8771057	261.198	211.407
/path/to/IP_WT_Q_Hho1_6337.sc.bam	/path/to/in_WT_Q_Hho1_6337.sc.bam	0.05815143666446435	6nd	70.6	69.6	300	20	12805318	6856398	255.112	204.75
/path/to/IP_WT_Q_Hmo1_7750.sc.bam	/path/to/in_WT_Q_Hmo1_7750.sc.bam	0.024764526393081313	6nd	27.4	67.9	300	20	11487476	11300616	252.177	216.662
/path/to/IP_WT_Q_Hmo1_7751.sc.bam	/path/to/in_WT_Q_Hmo1_7751.sc.bam	0.009092163417960887	6nd	14.8	106.6	300	20	14144271	10230027	224.467	205.799
