run_accession	sample_title	fastq_https	custom_name
#N/A	input, quiescence, untagged, strain 5781	https://www.dropbox.com/scl/fi/u8wp6y80xi8srs7r6khsp/5781_input_S13_R1_001.fastq.gz?rlkey=0jpefe2uw2n058xte9am4av9g&st=k4ojkazl&dl=1;https://www.dropbox.com/scl/fi/jdv1cixfkxupmwpxmon3r/5781_input_S13_R2_001.fastq.gz?rlkey=ikkwsolvm054exow1cidi5tre&st=cjew38im&dl=1	in_WT_Q_untagged_5781
#N/A	immunoprecipitate, quiescence, untagged, strain 5781	https://www.dropbox.com/scl/fi/p1j9g7tjsb5rzu2t8whmu/5781_IP_S14_R1_001.fastq.gz?rlkey=jlbl6d2p1k9b3m3b6k9tz64u2&st=xzsz52ds&dl=1;https://www.dropbox.com/scl/fi/nlog3sfse150dvbhm9enb/5781_IP_S14_R2_001.fastq.gz?rlkey=p3mr6nk6u6xynob4ngk0s3xre&st=bw6n0g5d&dl=1	IP_WT_Q_untagged_5781
#N/A	input, G1, Hho1, strain 6336	https://www.dropbox.com/scl/fi/qq6i5rhkgttulojr7bzc4/6336_G1_in_S15_R1_001.fastq.gz?rlkey=2hd3poqqswcnyyhbmd138uvm7&st=6zd4c720&dl=1;https://www.dropbox.com/scl/fi/io3rh731xoulkxvj98omg/6336_G1_in_S15_R2_001.fastq.gz?rlkey=ik2vn7x57xo00di9neeubnxkb&st=wqmh7g1z&dl=1	in_WT_G1_Hho1_6336
#N/A	immunoprecipitate, G1, Hho1, strain 6336	https://www.dropbox.com/scl/fi/b0cs37yk80u2e9r3u9muw/6336_G1_lP_S27_R1_001.fastq.gz?rlkey=f3b9euk6l4x1l132vlxaru7ve&st=wu9dbnzw&dl=1;https://www.dropbox.com/scl/fi/qrbhs9r8ym4wthcwoz0kb/6336_G1_lP_S27_R2_001.fastq.gz?rlkey=polnrrlealg90f11btzu05oqs&st=12y66j3z&dl=1	IP_WT_G1_Hho1_6336
#N/A	input, G2/M, Hho1, strain 6336	https://www.dropbox.com/scl/fi/6a48gl3tnb8v4c3g8hx47/6336_G2M_in_S17_R1_001.fastq.gz?rlkey=2l0fb0eudlvllpufj9kmcruff&st=9j073fsc&dl=1;https://www.dropbox.com/scl/fi/g8wiltnibdyt6h6utstsk/6336_G2M_in_S17_R2_001.fastq.gz?rlkey=jtpo0qc81u1i7t84cminq0ahs&st=v6cfynfd&dl=1	in_WT_G2M_Hho1_6336
#N/A	immunoprecipitate, G2/M, Hho1, strain 6336	https://www.dropbox.com/scl/fi/myb1sqryg0lmmsopusdkp/6336_G2M_lP_S29_R1_001.fastq.gz?rlkey=448i054qicr71fh0fcqksbqe5&st=rlulhw9y&dl=1;https://www.dropbox.com/scl/fi/yiegn3h3sxoi6rt7yity0/6336_G2M_lP_S29_R2_001.fastq.gz?rlkey=47u1x2axobxc2583vf8uglgtr&st=bhoqs9xr&dl=1	IP_WT_G2M_Hho1_6336
#N/A	input, quiescence, Hho1, strain 6336	https://www.dropbox.com/scl/fi/lolxsbn0jfpr0i8bcn20g/6336_Q-in_S19_R1_001.fastq.gz?rlkey=ezpqffo690b5vhb7bbz7ljxyi&st=na1mfy1q&dl=1;https://www.dropbox.com/scl/fi/s5mrhvyvwaz08omkk4s0b/6336_Q-in_S19_R2_001.fastq.gz?rlkey=lbxu49ktowxpyst2hhoh3z104&st=27n7bsv7&dl=1	in_WT_Q_Hho1_6336
#N/A	immunoprecipitate, quiescence, Hho1, strain 6336	https://www.dropbox.com/scl/fi/ad3k2xnpf6x5f0r15orhb/6336_Q_lP_S31_R1_001.fastq.gz?rlkey=29jbm8woki9kvau1ljlqq9sco&st=vd4g6ud0&dl=1;https://www.dropbox.com/scl/fi/6eq7rfjdn26c3a1z1v482/6336_Q_lP_S31_R2_001.fastq.gz?rlkey=0k5vas4342rgjgafw20j78qoo&st=1mpnoy22&dl=1	IP_WT_Q_Hho1_6336
#N/A	input, G1, Hho1, strain 6337	https://www.dropbox.com/scl/fi/vv4kmupqp6g5ksrwbekkb/6337_G1_in_S16_R1_001.fastq.gz?rlkey=4qefmp6xzhn31h58s41jmoyyq&st=kisky31s&dl=1;https://www.dropbox.com/scl/fi/wowgs830al25kbugmw9ze/6337_G1_in_S16_R2_001.fastq.gz?rlkey=92fnd8jxojr3rxtvoayjudxw2&st=z5w910j9&dl=1	in_WT_G1_Hho1_6337
#N/A	input, G2/M, Hho1, strain 6337	https://www.dropbox.com/scl/fi/dd1ycecoi6xyngjed8wrb/6337_G2M_in_S18_R1_001.fastq.gz?rlkey=gzones6z3k7ui7uoyol9x1yih&st=0q2sw3x4&dl=1;https://www.dropbox.com/scl/fi/c2ioqts2x7cljdymu6dst/6337_G2M_in_S18_R2_001.fastq.gz?rlkey=x7lrwgd1hrpvwqshrxi3zml33&st=f0intfqx&dl=1	in_WT_G2M_Hho1_6337
