run_accession	fastq_ftp	experiment_title
SRR32203044	ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/044/SRR32203044/SRR32203044_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/044/SRR32203044/SRR32203044_2.fastq.gz	NextSeq 2000 sequencing: GSM8769705: immunoprecipitate, HHO1-2L-3FLAG, G1 state, strain yTT6336 Saccharomyces cerevisiae ChIP-Seq
SRR32203047	ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/047/SRR32203047/SRR32203047_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/047/SRR32203047/SRR32203047_2.fastq.gz	NextSeq 2000 sequencing: GSM8769702: input, HHO1-2L-3FLAG, quiescent state, strain yTT6337 Saccharomyces cerevisiae ChIP-Seq
SRR32203052	ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/052/SRR32203052/SRR32203052_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/052/SRR32203052/SRR32203052_2.fastq.gz	NextSeq 2000 sequencing: GSM8769697: input, HHO1-2L-3FLAG, G2/M state, strain yTT6336 Saccharomyces cerevisiae ChIP-Seq
SRR32203060	ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/060/SRR32203060/SRR32203060_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/060/SRR32203060/SRR32203060_2.fastq.gz	NextSeq 2000 sequencing: GSM8769712: immunoprecipitate, HMO1-2L-3FLAG, G2/M state, strain yTT7751 Saccharomyces cerevisiae ChIP-Seq
SRR32203040	ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/040/SRR32203040/SRR32203040_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/040/SRR32203040/SRR32203040_2.fastq.gz	NextSeq 2000 sequencing: GSM8769709: immunoprecipitate, HHO1-2L-3FLAG, G2/M state, strain yTT6336 Saccharomyces cerevisiae ChIP-Seq
SRR32203042	ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/042/SRR32203042/SRR32203042_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/042/SRR32203042/SRR32203042_2.fastq.gz	NextSeq 2000 sequencing: GSM8769707: immunoprecipitate, HMO1-2L-3FLAG, G1 state, strain yTT7750 Saccharomyces cerevisiae ChIP-Seq
SRR32203045	ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/045/SRR32203045/SRR32203045_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/045/SRR32203045/SRR32203045_2.fastq.gz	NextSeq 2000 sequencing: GSM8769704: input, HMO1-2L-3FLAG, quiescent state, strain yTT7751 Saccharomyces cerevisiae ChIP-Seq
SRR32203048	ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/048/SRR32203048/SRR32203048_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/048/SRR32203048/SRR32203048_2.fastq.gz	NextSeq 2000 sequencing: GSM8769701: input, HHO1-2L-3FLAG, quiescent state, strain yTT6336 Saccharomyces cerevisiae ChIP-Seq
SRR32203051	ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/051/SRR32203051/SRR32203051_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/051/SRR32203051/SRR32203051_2.fastq.gz	NextSeq 2000 sequencing: GSM8769698: input, HHO1-2L-3FLAG, G2/M state, strain yTT6337 Saccharomyces cerevisiae ChIP-Seq
SRR32203054	ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/054/SRR32203054/SRR32203054_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/054/SRR32203054/SRR32203054_2.fastq.gz	NextSeq 2000 sequencing: GSM8769695: input, HMO1-2L-3FLAG, G1 state, strain yTT7750 Saccharomyces cerevisiae ChIP-Seq
SRR32203056	ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/056/SRR32203056/SRR32203056_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/056/SRR32203056/SRR32203056_2.fastq.gz	NextSeq 2000 sequencing: GSM8769716: immunoprecipitate, HMO1-2L-3FLAG, quiescent state, strain yTT7751 Saccharomyces cerevisiae ChIP-Seq
SRR32203058	ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/058/SRR32203058/SRR32203058_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/058/SRR32203058/SRR32203058_2.fastq.gz	NextSeq 2000 sequencing: GSM8769714: immunoprecipitate, HHO1-2L-3FLAG, quiescent state, strain yTT6337 Saccharomyces cerevisiae ChIP-Seq
SRR32203059	ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/059/SRR32203059/SRR32203059_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/059/SRR32203059/SRR32203059_2.fastq.gz	NextSeq 2000 sequencing: GSM8769713: immunoprecipitate, HHO1-2L-3FLAG, quiescent state, strain yTT6336 Saccharomyces cerevisiae ChIP-Seq
SRR32203062	ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/062/SRR32203062/SRR32203062_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/062/SRR32203062/SRR32203062_2.fastq.gz	NextSeq 2000 sequencing: GSM8769710: immunoprecipitate, HHO1-2L-3FLAG, G2/M state, strain yTT6337 Saccharomyces cerevisiae ChIP-Seq
SRR32203041	ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/041/SRR32203041/SRR32203041_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/041/SRR32203041/SRR32203041_2.fastq.gz	NextSeq 2000 sequencing: GSM8769708: immunoprecipitate, HMO1-2L-3FLAG, G1 state, strain yTT7751 Saccharomyces cerevisiae ChIP-Seq
SRR32203043	ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/043/SRR32203043/SRR32203043_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/043/SRR32203043/SRR32203043_2.fastq.gz	NextSeq 2000 sequencing: GSM8769706: immunoprecipitate, HHO1-2L-3FLAG, G1 state, strain yTT6337 Saccharomyces cerevisiae ChIP-Seq
SRR32203046	ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/046/SRR32203046/SRR32203046_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/046/SRR32203046/SRR32203046_2.fastq.gz	NextSeq 2000 sequencing: GSM8769703: input, HMO1-2L-3FLAG, quiescent state, strain yTT7750 Saccharomyces cerevisiae ChIP-Seq
SRR32203049	ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/049/SRR32203049/SRR32203049_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/049/SRR32203049/SRR32203049_2.fastq.gz	NextSeq 2000 sequencing: GSM8769700: input, HMO1-2L-3FLAG, G2/M state, strain yTT7751 Saccharomyces cerevisiae ChIP-Seq
SRR32203050	ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/050/SRR32203050/SRR32203050_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/050/SRR32203050/SRR32203050_2.fastq.gz	NextSeq 2000 sequencing: GSM8769699: input, HMO1-2L-3FLAG, G2/M state, strain yTT7750 Saccharomyces cerevisiae ChIP-Seq
SRR32203053	ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/053/SRR32203053/SRR32203053_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/053/SRR32203053/SRR32203053_2.fastq.gz	NextSeq 2000 sequencing: GSM8769696: input, HMO1-2L-3FLAG, G1 state, strain yTT7751 Saccharomyces cerevisiae ChIP-Seq
SRR32203055	ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/055/SRR32203055/SRR32203055_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/055/SRR32203055/SRR32203055_2.fastq.gz	NextSeq 2000 sequencing: GSM8769694: input, HHO1-2L-3FLAG, G1 state, strain yTT6337 Saccharomyces cerevisiae ChIP-Seq
