run_accession	sample_title	fastq_ftp
SRR7175368	Brn1 in Log Replicate 1 Input	ftp.sra.ebi.ac.uk/vol1/fastq/SRR717/008/SRR7175368/SRR7175368.fastq.gz
SRR7175369	Brn1 in Log Replicate 2 IP	ftp.sra.ebi.ac.uk/vol1/fastq/SRR717/009/SRR7175369/SRR7175369.fastq.gz
SRR7175371	Brn1 in Log Replicate 3 IP	ftp.sra.ebi.ac.uk/vol1/fastq/SRR717/001/SRR7175371/SRR7175371.fastq.gz
SRR7175376	Brn1 in Q Replicate 1 Input	ftp.sra.ebi.ac.uk/vol1/fastq/SRR717/006/SRR7175376/SRR7175376.fastq.gz
SRR7175378	Brn1 in Q Replicate 2 Input	ftp.sra.ebi.ac.uk/vol1/fastq/SRR717/008/SRR7175378/SRR7175378.fastq.gz
SRR7175384	Rpb3 in SMC4-off Replicate 1 Input	ftp.sra.ebi.ac.uk/vol1/fastq/SRR717/004/SRR7175384/SRR7175384.fastq.gz
SRR7175386	Rpb3 in SMC4-off Replicate 2 Input	ftp.sra.ebi.ac.uk/vol1/fastq/SRR717/006/SRR7175386/SRR7175386.fastq.gz
SRR7175388	Rpb3 in SMC4-off All Replicates Merged Input	ftp.sra.ebi.ac.uk/vol1/fastq/SRR717/008/SRR7175388/SRR7175388.fastq.gz
SRR7175396	Rpb3 in Q Replicate 1 Input	ftp.sra.ebi.ac.uk/vol1/fastq/SRR717/006/SRR7175396/SRR7175396.fastq.gz
SRR7175370	Brn1 in Log Replicate 2 Input	ftp.sra.ebi.ac.uk/vol1/fastq/SRR717/000/SRR7175370/SRR7175370.fastq.gz
SRR8200047	Brn1 in SMC4-off Replicates Merged Input	ftp.sra.ebi.ac.uk/vol1/fastq/SRR820/007/SRR8200047/SRR8200047.fastq.gz
SRR7175373	Brn1 in Log All Replicates Merged IP	ftp.sra.ebi.ac.uk/vol1/fastq/SRR717/003/SRR7175373/SRR7175373.fastq.gz
